Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,standardised_smiles,Identifier
"3,3-Dimethyl-2-butanol",-1.2919999999999998,1.0,102.177,1.0,0.0,0.0,20.23,-0.62,CC(O)C(C)(C)C,[608]
1-Phenylethanol,-1.919,1.0,122.16699999999996,1.0,1.0,1.0,20.23,-0.92,CC(O)c1ccccc1,[957]
Fenpropathrin,-6.15,1.0,349.43000000000006,0.0,3.0,5.0,59.32000000000001,-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,[901]
Deltamethrin,-7.44,1.0,505.2060000000002,0.0,3.0,6.0,59.32000000000001,-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,[272]
Cyhalothrin,-6.905,1.0,449.8560000000001,0.0,3.0,6.0,59.32000000000001,-8.176,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,[744]
Cyfluthrin,-6.84,1.0,434.29400000000015,0.0,3.0,6.0,59.32000000000001,-7.337000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,[127]
Cypermethrin,-6.775,1.0,416.30400000000014,0.0,3.0,6.0,59.32000000000001,-8.017000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,[458]
Permethrin,-7.129,1.0,391.2940000000001,0.0,3.0,6.0,35.53,-6.291,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,[591]
"5,5-Dimethylbarbituric acid",-0.556,1.0,156.141,2.0,1.0,0.0,75.27000000000001,-1.742,CC1(C)C(O)=NC(=O)N=C1O,[971]
borneol,-2.423,1.0,154.253,1.0,2.0,0.0,20.23,-2.32,CC1(C)C2CCC1(C)C(O)C2,[749]
Clomazone,-3.077,1.0,239.702,0.0,2.0,2.0,29.54,-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O,[652]
triamcinolone acetonide,-3.928,1.0,434.50400000000025,2.0,5.0,2.0,93.06000000000002,-4.31,CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,[917]
Prednisolone,-2.974,1.0,360.4500000000002,3.0,4.0,2.0,94.83,-3.18,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,[576]
Triamcinolone,-2.734,1.0,394.43900000000014,4.0,4.0,2.0,115.06000000000002,-3.68,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,[62]
adrenosterone,-2.99,1.0,300.3980000000001,0.0,4.0,0.0,51.21,-3.48,CC12CC(=O)C3C(CC=C4CC(=O)CCC43C)C1CCC2=O,[578]
Procymidone,-3.464,1.0,284.142,0.0,3.0,1.0,37.38,-4.8,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,[675]
Cortisone,-2.893,1.0,360.45000000000016,2.0,4.0,2.0,91.67,-3.11,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,[340]
Corticosterone,-3.454,1.0,346.46700000000016,2.0,4.0,2.0,74.6,-3.24,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,[966]
Hydrocortisone ,-3.159,1.0,362.4660000000002,3.0,4.0,2.0,94.83,-3.09,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,[364]
aldosterone,-3.0660000000000003,1.0,360.4500000000001,2.0,4.0,3.0,91.67000000000002,-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,[695]
Deoxycorticosterone,-3.939,1.0,330.4680000000001,1.0,4.0,2.0,54.370000000000005,-3.45,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,[100]
Testosterone,-3.659,1.0,288.431,1.0,4.0,0.0,37.3,-4.02,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,[750]
17a-Methyltestosterone,-4.073,1.0,302.4580000000001,1.0,4.0,0.0,37.3,-3.999,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,[310]
Fludrocortisone,-3.172,1.0,380.4560000000001,3.0,4.0,2.0,94.83,-3.43,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,[131]
D-fenchone,-2.158,1.0,152.237,0.0,2.0,0.0,17.07,-1.85,CC12CCC(C1)C(C)(C)C2=O,[797]
,-2.5337605476379395,1.0,150.96875,0.0,0.28075161576271057,0.0,16.194942474365234,-2.8012430667877197,CC12CCC(CC1)C(C)(C)O2,"[213, 976]"
Camphor,-2.158,1.0,152.237,0.0,2.0,0.0,17.07,-1.96,CC12CCC(CC1=O)C2(C)C,[72]
Equilin,-3.555,1.0,268.356,1.0,4.0,0.0,37.3,-5.282,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,[293]
Androstenedione,-3.393,1.0,286.415,0.0,4.0,0.0,34.14,-3.69,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,[944]
Prasterone,-3.564,1.0,288.43100000000004,1.0,4.0,0.0,37.3,-4.12,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,[674]
Stanolone,-3.882,1.0,290.44699999999995,1.0,4.0,0.0,37.3,-4.743,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,[920]
,-3.7993505001068115,1.0,281.0990295410156,1.0,2.666435480117798,0.0,34.862060546875,-4.360195159912109,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,"[232, 655]"
Epitostanol,-4.545,1.0,306.51500000000004,1.0,5.0,0.0,20.23,-5.41,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,[1030]
estriol,-3.858,1.0,288.387,3.0,4.0,0.0,60.69,-4.955,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,[844]
Estrone,-3.872,1.0,270.372,1.0,4.0,0.0,37.3,-3.955,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,[624]
Estradiol,-4.138,1.0,272.388,2.0,4.0,0.0,40.46,-5.03,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,[7]
Equilenin,-3.927,1.0,266.34,1.0,4.0,0.0,37.3,-5.24,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,[434]
pyracarbolid,-2.83,1.0,217.26800000000003,1.0,2.0,2.0,38.33,-2.56,CC1=C(C(O)=Nc2ccccc2)CCCO1,[504]
Oxycarboxin,-2.169,1.0,267.306,1.0,2.0,2.0,72.47,-2.281,CC1=C(C(O)=Nc2ccccc2)S(=O)(=O)CCO1,[1113]
Carboxin,-2.927,1.0,235.308,1.0,2.0,2.0,38.33,-3.14,CC1=C(C(O)=Nc2ccccc2)SCCO1,[400]
Santonin,-2.43,1.0,246.30599999999995,0.0,3.0,0.0,43.370000000000005,-3.09,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,[536]
isophorone,-2.015,1.0,138.20999999999998,0.0,1.0,0.0,17.07,-1.06,CC1=CC(=O)CC(C)(C)C1,[176]
Menadione,-2.667,1.0,172.18299999999996,0.0,2.0,0.0,34.14,-3.03,CC1=CC(=O)c2ccccc2C1=O,[610]
1-Methylcyclohexene ,-2.574,1.0,96.17300000000002,0.0,1.0,0.0,0.0,-3.27,CC1=CCCCC1,[776]
cycloheximide,-1.5319999999999998,1.0,281.35200000000003,2.0,2.0,3.0,83.47,-1.13,CC1CC(C)C(=O)C(C(O)CC2CC(=O)N=C(O)C2)C1,[174]
Flumethasone,-3.539,1.0,410.4570000000002,3.0,4.0,2.0,94.83,-5.613,CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,[1008]
Dexamethasone,-3.4,1.0,392.4670000000002,3.0,4.0,2.0,94.83,-3.59,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,[615]
Menthone,-2.516,1.0,154.253,0.0,1.0,1.0,17.07,-2.35,CC1CCC(C(C)C)C(=O)C1,[88]
menthol,-2.782,1.0,156.269,1.0,1.0,1.0,20.23,-2.53,CC1CCC(C(C)C)C(O)C1,[43]
"trans-1,4-Dimethylcyclohexane",-3.305,1.0,112.216,0.0,1.0,0.0,0.0,-4.47,CC1CCC(C)CC1,[312]
Methylcyclopentane,-2.452,1.0,84.162,0.0,1.0,0.0,0.0,-3.3,CC1CCCC1,[1102]
Methylcyclohexane ,-2.891,1.0,98.189,0.0,1.0,0.0,0.0,-3.85,CC1CCCCC1,[532]
"cis-1,2-Dimethylcyclohexane",-3.305,1.0,112.216,0.0,1.0,0.0,0.0,-4.3,CC1CCCCC1C,[753]
Siduron,-3.779,1.0,232.32700000000003,2.0,2.0,2.0,41.13,-4.11,CC1CCCCC1NC(O)=Nc1ccccc1,[521]
2-Methyltetrahydrofurane,-1.034,1.0,86.134,0.0,1.0,0.0,9.23,0.11,CC1CCCO1,[535]
"1,2-Propylene oxide",-0.358,1.0,58.08,0.0,1.0,0.0,12.53,-0.59,CC1CO1,[626]
Diosgenin,-5.681,1.0,414.63000000000017,1.0,6.0,0.0,38.69,-7.32,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,[188]
Indapamide,-4.345,1.0,365.842,2.0,3.0,3.0,92.5,-3.5860000000000003,CC1Cc2ccccc2N1N=C(O)c1ccc(Cl)c(S(N)(=O)=O)c1,[343]
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-5.312,1.0,780.9490000000001,6.0,8.0,7.0,203.06,-4.081,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,[555]
Digitoxin,-6.114,1.0,764.9499999999999,5.0,8.0,7.0,182.83,-5.292999999999999,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,[640]
Dienestrol,-4.775,1.0,266.34,2.0,2.0,3.0,40.46,-4.95,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,[866]
2-Methy-2-Butene,-1.994,1.0,70.13499999999999,0.0,0.0,0.0,0.0,-2.56,CC=C(C)C,[762]
diethylstilbestrol,-5.074,1.0,268.356,2.0,2.0,4.0,40.46,-4.07,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,[95]
2-butenal,-0.604,1.0,70.09100000000001,0.0,0.0,1.0,17.07,0.32,CC=CC=O,[1081]
Anethole,-3.254,1.0,148.20499999999998,0.0,1.0,2.0,9.23,-3.13,CC=Cc1ccc(OC)cc1,[315]
Bromoethane,-1.529,1.0,108.966,0.0,0.0,0.0,0.0,-1.09,CCBr,[638]
Propane,-1.5530000000000002,1.0,44.097,0.0,0.0,0.0,0.0,-1.94,CCC,[494]
3-Hexyne,-1.933,1.0,82.14599999999999,0.0,0.0,0.0,0.0,-1.99,CCC#CCC,[639]
Propionitrile,-0.2689999999999999,1.0,55.07999999999999,0.0,0.0,0.0,23.79,0.28,CCC#N,[671]
3-Pentanone,-0.912,1.0,86.134,0.0,0.0,2.0,17.07,-0.28,CCC(=O)CC,[1006]
Methyl propionate,-0.836,1.0,88.106,0.0,0.0,1.0,26.3,-0.14,CCC(=O)OC,[367]
testosterone propionate,-4.87,1.0,344.4950000000001,0.0,4.0,2.0,43.370000000000005,-5.37,CCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[717]
3-Propanoyloxymethylphenytoin,-3.128,1.0,338.36300000000006,1.0,3.0,5.0,75.71,-4.907,CCC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[593]
Carbromal,-2.198,1.0,237.097,2.0,0.0,3.0,72.19,-2.68,CCC(Br)(CC)C(O)=NC(=N)O,[68]
"2,2-Dimethylbutane",-2.584,1.0,86.17799999999998,0.0,0.0,0.0,0.0,-3.55,CCC(C)(C)C,[880]
"3,3-Dimethylpentane",-2.938,1.0,100.20499999999998,0.0,0.0,2.0,0.0,-4.23,CCC(C)(C)CC,[1063]
"2,2-Dimethyl-1-butanol",-1.365,1.0,102.17699999999998,1.0,0.0,2.0,20.23,-1.04,CCC(C)(C)CO,[327]
2-Chloro-2-methylbutane,-2.278,1.0,106.596,0.0,0.0,1.0,0.0,-2.51,CCC(C)(C)Cl,[438]
2-Methylbutan-2-ol,-0.954,1.0,88.14999999999998,1.0,0.0,1.0,20.23,0.15,CCC(C)(C)O,[998]
3-Methyl-3-pentanol,-1.308,1.0,102.17699999999998,1.0,0.0,2.0,20.23,-0.36,CCC(C)(O)CC,[446]
2-Butanone,-0.491,1.0,72.107,0.0,0.0,1.0,17.07,0.52,CCC(C)=O,[148]
2-Methylbutane,-2.245,1.0,72.151,0.0,0.0,1.0,0.0,-3.18,CCC(C)C,[1126]
Lovastatin,-4.731,1.0,404.54700000000025,1.0,3.0,6.0,72.83,-6.005,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,[344]
3-Methyl-2-pentanone,-1.266,1.0,100.161,0.0,0.0,2.0,17.07,-0.67,CCC(C)C(C)=O,[937]
"2,3-Dimethylpentane",-2.938,1.0,100.20499999999998,0.0,0.0,2.0,0.0,-4.28,CCC(C)C(C)C,[806]
Butabarbital,-1.958,1.0,212.249,2.0,1.0,3.0,75.27000000000001,-2.39,CCC(C)C1(CC)C(O)=NC(=O)N=C1O,[177]
3-Methylpentane,-2.6,1.0,86.178,0.0,0.0,2.0,0.0,-3.68,CCC(C)CC,[180]
3-Methyl-2-pentanol,-1.308,1.0,102.177,1.0,0.0,3.0,20.23,-0.71,CCC(C)CCO,[550]
2-Methylbutanol,-1.027,1.0,88.14999999999999,1.0,0.0,2.0,20.23,-0.47,CCC(C)CO,[16]
2-Chlorobutane,-1.94,1.0,92.569,0.0,0.0,1.0,0.0,-1.96,CCC(C)Cl,[193]
Butan-2-ol,-0.616,1.0,74.12299999999999,1.0,0.0,1.0,20.23,0.47,CCC(C)O,[842]
Dinoseb,-3.715,1.0,240.21499999999995,1.0,1.0,4.0,106.51000000000002,-3.38,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,[677]
Bromacil,-3.419,1.0,261.119,1.0,1.0,2.0,54.86,-2.523,CCC(C)n1c(O)nc(C)c(Br)c1=O,[53]
2-Ethylbutanal,-1.523,1.0,100.161,0.0,0.0,3.0,17.07,-1.52,CCC(C=O)CC,[781]
2-Ethyl-1-butanol,-1.381,1.0,102.177,1.0,0.0,3.0,20.23,-1.17,CCC(CC)CO,[1099]
3-Ethyl-3-pentanol,-1.663,1.0,116.204,1.0,0.0,3.0,20.23,-0.85,CCC(O)(CC)CC,[1029]
Propanil,-3.644,1.0,218.083,1.0,1.0,2.0,29.1,-3.0,CCC(O)=Nc1ccc(Cl)c(Cl)c1,[378]
2-Methyl-3-pentanol,-1.308,1.0,102.177,1.0,0.0,2.0,20.23,-0.7,CCC(O)C(C)C,[747]
3-Pentanol,-0.97,1.0,88.15,1.0,0.0,2.0,20.23,-0.24,CCC(O)CC,[992]
Hexestrol,-4.854,1.0,270.372,2.0,2.0,5.0,40.46,-4.43,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,[353]
,-2.5221240520477295,1.0,225.1195068359375,1.0126594305038452,1.0,4.293566703796387,54.779476165771484,-3.4900848865509033,CCC1(C(C)C)C(O)=NC(=O)N=C1O,"[701, 825]"
5-Methyl-5-ethylbarbituric acid,-0.911,1.0,170.16799999999998,2.0,1.0,1.0,75.27000000000001,-1.228,CCC1(C)C(O)=NC(=O)N=C1O,[889]
Reposal,-2.781,1.0,262.309,2.0,3.0,2.0,75.27000000000001,-2.696,CCC1(C2=CCC3CCC2C3)C(O)=NC(=O)N=C1O,[346]
cyclobarbital,-2.421,1.0,236.271,2.0,2.0,2.0,75.27000000000001,-2.17,CCC1(C2=CCCCC2)C(O)=NC(=O)N=C1O,[51]
metharbital,-1.658,1.0,198.222,1.0,1.0,2.0,66.48,-2.23,CCC1(CC)C(=O)N(C)C(=O)N=C1O,[404]
Barbital,-1.265,1.0,184.195,2.0,1.0,2.0,75.27000000000001,-2.4,CCC1(CC)C(O)=NC(=O)N=C1O,[285]
5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.126,1.0,224.26,2.0,1.0,3.0,75.27000000000001,-2.253,CCC1(CC=C(C)C)C(O)=NC(=O)N=C1O,[898]
,-2.6720988750457764,1.0,193.8516845703125,1.794205665588379,1.0,3.324185848236084,55.01771926879883,-2.9204790592193604,CCC1(CCC(C)C)C(O)=NC(=O)N=C1O,"[147, 779]"
,-2.802978754043579,1.0,196.5535888671875,1.5994305610656738,1.486708402633667,3.1755571365356445,67.901611328125,-2.46703839302063,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,"[323, 465]"
Primidone,-1.897,1.0,218.256,2.0,2.0,2.0,58.2,-2.64,CCC1(c2ccccc2)C(O)=NCN=C1O,[13]
Glutethimide,-2.591,1.0,217.268,1.0,2.0,2.0,46.17,-2.337,CCC1(c2ccccc2)CCC(O)=NC1=O,[179]
Ethylcyclohexane,-3.245,1.0,112.216,0.0,1.0,1.0,0.0,-4.25,CCC1CCCCC1,[947]
Quinethazone,-2.184,1.0,289.7440000000001,3.0,2.0,2.0,101.29,-3.29,CCC1N=C(O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,[730]
Propionaldehyde,-0.3939999999999999,1.0,58.08,0.0,0.0,1.0,17.07,0.58,CCC=O,[770]
1-Bromopropane,-1.949,1.0,122.993,0.0,0.0,1.0,0.0,-1.73,CCCBr,[78]
Butane,-1.907,1.0,58.124,0.0,0.0,1.0,0.0,-2.57,CCCC,[1068]
3-Hexanone,-1.266,1.0,100.161,0.0,0.0,3.0,17.07,-0.83,CCCC(=O)CC,[395]
4-Heptanone,-1.62,1.0,114.188,0.0,0.0,4.0,17.07,-1.3,CCCC(=O)CCC,[237]
Propyl butyrate,-1.1909999999999998,1.0,102.13299999999998,0.0,0.0,2.0,26.3,-1.92,CCCC(=O)OC,[377]
Methyl pentanoate,-1.545,1.0,116.15999999999998,0.0,0.0,3.0,26.3,-1.36,CCCC(=O)OCC,[609]
3-Butanoyloxymethylphenytoin,-3.469,1.0,352.39000000000004,1.0,3.0,6.0,75.71,-5.071000000000001,CCCC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[716]
"2,2-Dimethylpentane",-2.938,1.0,100.20499999999998,0.0,0.0,1.0,0.0,-4.36,CCCC(C)(C)C,[211]
"2,2-Dimethylpentanol",-1.719,1.0,116.20399999999998,1.0,0.0,3.0,20.23,-1.52,CCCC(C)(C)CO,[705]
2-Methyl-2-pentanol,-1.308,1.0,102.17699999999998,1.0,0.0,2.0,20.23,-0.49,CCCC(C)(C)O,[926]
Meprobamate,-1.376,1.0,218.253,2.0,0.0,6.0,104.64,-1.807,CCCC(C)(COC(=N)O)COC(=N)O,[171]
3-Methyl-3-hexanol,-1.663,1.0,116.20399999999998,1.0,0.0,3.0,20.23,-0.98,CCCC(C)(O)CC,[766]
2-Pentanone,-0.846,1.0,86.13399999999999,0.0,0.0,2.0,17.07,-0.19,CCCC(C)=O,[59]
2-Methylpentane,-2.6,1.0,86.178,0.0,0.0,2.0,0.0,-3.74,CCCC(C)C,[478]
Pentobarbital,-2.312,1.0,226.27599999999995,2.0,1.0,4.0,75.27000000000001,-2.39,CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,[571]
thiopental,-2.96,1.0,242.344,2.0,1.0,4.0,58.2,-3.36,CCCC(C)C1(CC)C(O)=NC(=S)N=C1O,[411]
2-Methylpentanol,-1.381,1.0,102.177,1.0,0.0,3.0,20.23,-1.11,CCCC(C)CO,[895]
2-Pentanol,-0.97,1.0,88.14999999999999,1.0,0.0,2.0,20.23,-0.29,CCCC(C)O,[542]
3-Hexanol,-1.324,1.0,102.177,1.0,0.0,3.0,20.23,-0.8,CCCC(O)CC,[388]
4-Heptanol,-1.6780000000000002,1.0,116.204,1.0,0.0,4.0,20.23,-1.4,CCCC(O)CCC,[1076]
Propylcyclopentane,-3.16,1.0,112.216,0.0,1.0,2.0,0.0,-4.74,CCCC1CCCC1,[455]
Propiconazole,-4.603,1.0,342.2260000000001,0.0,3.0,5.0,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,[79]
2-Ethyl-2-hexanal,-2.081,1.0,126.19899999999998,0.0,0.0,4.0,17.07,-2.46,CCCC=C(C=O)CC,[959]
Butyraldehyde,-0.7490000000000001,1.0,72.107,0.0,0.0,2.0,17.07,-0.01,CCCC=O,[1066]
1-Bromobutane,-2.303,1.0,137.01999999999998,0.0,0.0,2.0,0.0,-2.37,CCCCBr,[267]
Pentane,-2.261,1.0,72.151,0.0,0.0,2.0,0.0,-3.18,CCCCC,[112]
5-Nonanone,-2.329,1.0,142.242,0.0,0.0,6.0,17.07,-2.58,CCCCC(=O)CCCC,[178]
Propyl propanoate,-1.545,1.0,116.15999999999998,0.0,0.0,3.0,26.3,-1.34,CCCCC(=O)OC,[630]
Betamethasone-17-valerate,-5.062,1.0,476.5850000000002,2.0,4.0,6.0,100.90000000000002,-4.71,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[851]
Pentyl propanoate,-1.899,1.0,130.18699999999998,0.0,0.0,4.0,26.3,-2.25,CCCCC(=O)OCC,[74]
3-Pentanoyloxymethylphenytoin,-3.81,1.0,366.417,1.0,3.0,7.0,75.71,-4.678,CCCCC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[263]
2-Methyl-2-hexanol,-1.663,1.0,116.20399999999998,1.0,0.0,3.0,20.23,-1.08,CCCCC(C)(C)O,[896]
3-Methyl-3-heptanol,-2.017,1.0,130.23099999999997,1.0,0.0,4.0,20.23,-1.6,CCCCC(C)(O)CC,[508]
2-Hexanone,-1.2,1.0,100.161,0.0,0.0,3.0,17.07,-0.8,CCCCC(C)=O,[1009]
3-Methylheptane,-3.3080000000000003,1.0,114.232,0.0,0.0,4.0,0.0,-5.16,CCCCC(C)CC,[1011]
2-Hexanol,-1.324,1.0,102.17699999999998,1.0,0.0,3.0,20.23,-0.89,CCCCC(C)O,[454]
2-Ethylhexanal,-2.232,1.0,128.21499999999995,0.0,0.0,5.0,17.07,-2.13,CCCCC(C=O)CC,[777]
2-Ethyl-1-hexanol,-2.089,1.0,130.231,1.0,0.0,5.0,20.23,-2.11,CCCCC(CC)CO,[1055]
Di(2-ethylhexyl)-phthalate,-7.117000000000001,1.0,390.5640000000003,0.0,1.0,14.0,52.60000000000001,-6.96,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,[867]
3-Heptanol ,-1.6780000000000002,1.0,116.20399999999998,1.0,0.0,4.0,20.23,-1.47,CCCCC(O)CC,[1051]
Butethal,-1.974,1.0,212.249,2.0,1.0,4.0,75.27000000000001,-1.661,CCCCC1(CC)C(O)=NC(=O)N=C1O,[27]
Valeraldehyde,-1.103,1.0,86.13399999999999,0.0,0.0,3.0,17.07,-0.85,CCCCC=O,[35]
1-Bromopentane,-2.658,1.0,151.047,0.0,0.0,3.0,0.0,-3.08,CCCCCBr,[820]
Hexane ,-2.615,1.0,86.178,0.0,0.0,3.0,0.0,-3.84,CCCCCC,[859]
Methyl hexanoate,-1.899,1.0,130.18699999999998,0.0,0.0,4.0,26.3,-1.87,CCCCCC(=O)OC,[359]
Ethyl hexanoate,-2.254,1.0,144.21399999999997,0.0,0.0,5.0,26.3,-2.35,CCCCCC(=O)OCC,[380]
3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1.0,380.444,1.0,3.0,8.0,75.71,-5.886,CCCCCC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[76]
2-Methyl-2-heptanol,-2.017,1.0,130.231,1.0,0.0,4.0,20.23,-1.72,CCCCCC(C)(C)O,[929]
2-Heptanone,-1.554,1.0,114.188,0.0,0.0,4.0,17.07,-1.45,CCCCCC(C)=O,[757]
2-Methylheptane,-3.3080000000000003,1.0,114.232,0.0,0.0,4.0,0.0,-5.08,CCCCCC(C)C,[743]
2-Heptanol ,-1.6780000000000002,1.0,116.20399999999998,1.0,0.0,4.0,20.23,-1.55,CCCCCC(C)O,[45]
3-Octanol,-2.033,1.0,130.23099999999997,1.0,0.0,5.0,20.23,-1.98,CCCCCC(O)CC,[892]
Pentylcyclopentane,-3.869,1.0,140.26999999999998,0.0,1.0,4.0,0.0,-6.08,CCCCCC1CCCC1,[823]
Caproaldehyde,-1.457,1.0,100.161,0.0,0.0,4.0,17.07,-1.3,CCCCCC=O,[162]
1-Bromohexane,-3.012,1.0,165.074,0.0,0.0,4.0,0.0,-3.81,CCCCCCBr,[477]
Heptane,-2.97,1.0,100.205,0.0,0.0,4.0,0.0,-4.53,CCCCCCC,[751]
Ethyl heptanoate,-2.608,1.0,158.241,0.0,0.0,6.0,26.3,-2.74,CCCCCCC(=O)OCC,[914]
3-Heptanoyloxymethylphenytoin,-4.496,1.0,394.471,1.0,3.0,9.0,75.71,-6.301,CCCCCCC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[175]
2-Octanone,-1.909,1.0,128.21499999999995,0.0,0.0,5.0,17.07,-2.05,CCCCCCC(C)=O,[978]
2-Octanol,-2.033,1.0,130.231,1.0,0.0,5.0,20.23,-2.09,CCCCCCC(C)O,[1112]
1-Bromoheptane,-3.366,1.0,179.101,0.0,0.0,5.0,0.0,-4.43,CCCCCCCBr,[129]
Octane,-3.324,1.0,114.232,0.0,0.0,5.0,0.0,-5.24,CCCCCCCC,[767]
Methyl octanoate,-2.608,1.0,158.241,0.0,0.0,6.0,26.3,-3.17,CCCCCCCC(=O)OC,[29]
Ethyl octanoate,-2.962,1.0,172.26799999999997,0.0,0.0,7.0,26.3,-3.39,CCCCCCCC(=O)OCC,[564]
3-Octanoyloxymethylphenytoin,-4.84,1.0,408.498,1.0,3.0,10.0,75.71,-6.523,CCCCCCCC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[167]
2-Nonanone,-2.263,1.0,142.242,0.0,0.0,6.0,17.07,-2.58,CCCCCCCC(C)=O,[948]
2-Nonanol,-2.387,1.0,144.258,1.0,0.0,6.0,20.23,-2.74,CCCCCCCC(C)O,[393]
1-Bromooctane,-3.721,1.0,193.128,0.0,0.0,6.0,0.0,-5.06,CCCCCCCCBr,[989]
Nonane,-3.678,1.0,128.259,0.0,0.0,6.0,0.0,-5.88,CCCCCCCCC,[734]
Methyl nonanoate,-2.962,1.0,172.268,0.0,0.0,7.0,26.3,-3.38,CCCCCCCCC(=O)OC,[979]
Ethyl nonanoate,-3.3160000000000003,1.0,186.295,0.0,0.0,8.0,26.3,-3.8,CCCCCCCCC(=O)OCC,[190]
2-Decanone,-2.617,1.0,156.269,0.0,0.0,7.0,17.07,-3.3,CCCCCCCCC(C)=O,[244]
