Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",standardised_smiles,Identifier
0,0.0,0,1.0,1.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,CCC(=O)[C@@]1(C)[C@H](C)CC2C3CC=C4CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C,[1303]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,CCC(C(=N)O)N1CCCC1=O,[326]
1,1.0,0,0.0,1.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC(C(=O)O)c1ccccc1,[1320]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,[1070]
0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,CCC(C)(C)c1ccc(CC(C)CN2CC(C)OC(C)C2)cc1,[281]
0,0.0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,CCC(C)C(=N)C1NC(C(O)=NC(CC(C)C)C(O)=NC(CCC(=O)O)C(O)=NC(C(O)=NC2CCCCN=C(O)C(CC(=N)O)N=C(O)C(CC(=O)O)N=C(O)C(Cc3cnc[nH]3)N=C(O)C(Cc3ccccc3)N=C(O)C(C(C)CC)N=C(O)C(CCCN)N=C2O)C(C)CC)CS1,[1406]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,1.0,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,[752]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,[979]
0,1.0,0,0.0,1.0,1.0,1.0,0,1,0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC(C)C(N=C(O)C(CCC(=O)O)N=C(O)C(CO)N=C(O)C(N=C(O)C(N)CO)C(C)C)C(O)=NC(CCC(=N)O)C(O)=NC(CC(C)C)C(O)=NC(CCSC)C(O)=NC(Cc1cnc[nH]1)C(O)=NC(CC(=N)O)C(O)=NC(CC(C)C)C(O)=NCC(O)=NC(CCCCN)C(O)=NC(Cc1cnc[nH]1)C(O)=NC(CC(C)C)C(O)=NC(CC(=N)O)C(O)=NC(CO)C(O)=NC(CCSC)C(O)=NC(CCC(=O)O)C(O)=NC(CCCNC(=N)N)C(O)=NC(C(O)=NC(CCC(=O)O)C(O)=NC(Cc1c[nH]c2ccccc12)C(O)=NC(CC(C)C)C(O)=NC(CCCNC(=N)N)C(O)=NC(CCCCN)C(O)=NC(CCCCN)C(O)=NC(CC(C)C)C(O)=NC(CCC(=N)O)C(O)=NC(CC(=O)O)C(O)=NC(C(O)=NC(Cc1cnc[nH]1)C(O)=NC(CC(=N)O)C(O)=NC(Cc1ccccc1)C(=O)O)C(C)C)C(C)C,[1392]
1,0.0,0,0.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,CCC(C)C1(CC)C(O)=NC(=O)N=C1O,[358]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,CCC(C)C1N=C(O)C(Cc2ccc(O)cc2)N=C(O)C(N)CSSCC(C(=O)N2CCCC2C(O)=NC(CC(C)C)C(O)=NCC(=N)O)N=C(O)C(CC(=N)O)N=C(O)C(C(C)O)N=C1O,[1112]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0,1.0,1.0,CCC(C)C1N=C(O)C(Cc2ccc(O)cc2)N=C(O)C(N)CSSCC(C(=O)N2CCCC2C(O)=NC(CC(C)C)C(O)=NCC(=N)O)N=C(O)C(CC(=N)O)N=C(O)C(CCC(=N)O)N=C1O,[1192]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCC(C)CC(C)CCCCCCCCC(O)=NC1C[C@H](O)[C@@H](NCCN)N=C(O)C2[C@@H](O)CCN2C(=O)C([C@H](O)CCN)N=C(O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)N=C(O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)N=C1O,[113]
0,0.0,0,0.0,1.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,CCC(C)CCCCC(O)=NC(CCN)C(O)=NC(C(O)=NC(CCN)C(O)=NC1CCN=C(O)C(C(C)O)N=C(O)C(CCN)N=C(O)C(CCN)N=C(O)C(CC(C)C)N=C(O)C(Cc2ccccc2)N=C(O)C(CCN)N=C1O)C(C)O,[975]
0,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,CCC(C)CCCCC(O)=NC(CCNCS(=O)(=O)O)C(O)=NC(C(O)=NC(CCNCS(=O)(=O)O)C(O)=NC1CCN=C(O)C(C(C)O)N=C(O)C(CCNCS(=O)(=O)O)N=C(O)C(CCNCS(=O)(=O)O)N=C(O)C(CC(C)C)N=C(O)C(CC(C)C)N=C(O)C(CCNCS(=O)(=O)O)N=C1O)C(C)O,[552]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,[712]
0,1.0,0,0.0,0.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CCC(CO)N=C(O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1,[802]
0,0.0,0,1.0,1.0,1.0,1.0,0,0,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCC(CO)N=C(O)C1=CC2c3cccc4c3c(cn4C)CC2N(C)C1,[806]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCC(CO)NCCNC(CC)CO,[557]
0,0.0,0,0.0,1.0,1.0,1.0,1,1,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,CCC(O)=NCC[C@@H]1CCc2ccc3c(c21)CCO3,[789]
0,0.0,0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,CCC(O)=NC[C@@H]1C[C@@H]1c1cccc2c1CCO2,[1394]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC(O)=NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,[1040]
0,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC(c1cccc(O)c1)C(C)CN(C)C,[331]
0,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0,CCC1(C)CC(O)=NC1=O,[558]
1,0.0,0,0.0,1.0,0.0,1.0,1,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,CCC1(CCC(C)C)C(O)=NC(=O)N=C1O,[280]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,1.0,0.0,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,[1127]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,0.0,1.0,0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O,[272]
1,1.0,0,0.0,1.0,1.0,1.0,1,1,0,0.0,1.0,0.0,0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,[954]
0,1.0,0,1.0,0.0,1.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,CCC1(c2ccccc2)C(O)=NCN=C1O,[988]
1,0.0,0,1.0,1.0,1.0,1.0,0,1,0,1.0,1.0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,CCC1(c2ccccc2)N=C(O)N(C)C1=O,[778]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C(C)O)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C,[1229]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0,CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)=C[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,[1380]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,0,1.0,1.0,1.0,1,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,1.0,1.0,1.0,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,[1175]
1,1.0,0,0.0,1.0,0.0,1.0,0,1,0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,CCC1=NC(=O)C2CSSCCC=CC(CC(O)=NC(C(C)C)C(O)=N2)OC(=O)C(C(C)C)NC1=O,[614]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC1C(=O)OCC1Cc1cncn1C,[966]
1,1.0,0,0.0,0.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,1.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,[1037]
1,1.0,0,1.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,[547]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,[301]
0,1.0,0,0.0,1.0,1.0,1.0,0,0,1,0.0,1.0,0.0,0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,CCC=CCC(O)=NC(Cc1ccc(O)cc1)C(O)=N[C@@H](C)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](C)C(O)=N[C@H](C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@H](C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CO)C(O)=N[C@@H](Cc1ccc(O)cc1)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCCCN)C(O)=N[C@H](C(O)=NCC(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CO)C(O)=N[C@@H](C)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@H](C(O)=N[C@@H](CCSC)C(O)=N[C@@H](CO)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCC(=N)O)C(O)=NCC(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CO)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](C)C(O)=NCC(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](C)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CC(C)C)C(=N)O)[C@@H](C)CC)C(C)C)[C@@H](C)O)[C@@H](C)CC,[1120]
0,0.0,0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,[532]
0,1.0,0,1.0,1.0,1.0,0.0,0,1,0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,CCCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(=O)CC21C,[438]
0,0.0,0,1.0,1.0,0.0,0.0,0,1,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CCCC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,[665]
0,0.0,0,1.0,1.0,0.0,0.0,0,0,1,0.0,1.0,0.0,0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[497]
0,0.0,0,0.0,1.0,0.0,1.0,0,1,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,CCCC(=O)OCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,[1281]
0,0.0,0,0.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CCCC(C)(COC(=N)O)COC(=N)O,[780]
0,0.0,0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,1.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1.0,CCCC(C)(COC(=N)O)COC(O)=NC(C)C,[381]
1,0.0,0,0.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,[945]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CCCC(CCC)C(=O)O,[510]
1,1.0,1,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1.0,CCCC(N=C(O)C1[C@H]2CCC[C@H]2CN1C(=O)C(N=C(O)[C@@H](N=C(O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,[850]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,CCCC(NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,[1269]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCCC(NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,[456]
0,1.0,0,1.0,1.0,1.0,1.0,0,0,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CCCC(O)=Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,[239]
1,0.0,0,0.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0,CCCC1CC(C(O)=NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,[435]
1,0.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CCCC1CC(C(O)=NC(C(C)Cl)C2OC(SC)C(O[PH](=O)(=O)O)C(O)C2O)N(C)C1,[1416]
1,0.0,0,0.0,1.0,0.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0.0,CCCC1CC(C(O)=NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,[741]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,[351]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,[647]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,[1168]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,[553]
0,1.0,0,0.0,1.0,1.0,1.0,0,0,1,0.0,1.0,0.0,1,0.0,1,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,0.0,CCCCC(=O)OCC(=O)[C@@]1(O)C=C(OC2CC(N=C(O)C(F)(F)F)C(O)C(C)O2)c2c(c(O)c3c(O)c4cccc(OC)c4c(O)c3c2O)C1,[123]
0,0.0,0,0.0,0.0,1.0,1.0,0,0,0,0.0,1.0,1.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CCCCC(=O)O[C@]1(C(=O)CO)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,[193]
0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,1.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[28]
0,0.0,0,0.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,CCCCC(C)(C)C(O)C=CC1C(O)CC(=O)C1CCCC=CCC(=O)OC,[622]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CCCCC(C)(O)CC=C[C@@H]1C(CCCCCCC(=O)OC)C(=O)C[C@H]1O,[244]
0,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCCCC(F)(F)[C@@]1(O)CC[C@@H]2C(CCCCCCC(=O)O)C(=O)C[C@H]2O1,[302]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,[699]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,[30]
1,1.0,1,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,0.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,[40]
0,0.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,[32]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,1.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,[31]
1,1.0,0,0.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0,CCCCCCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[1097]
0,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,[1325]
0,1.0,0,1.0,0.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)O,[1165]
0,1.0,0,1.0,0.0,1.0,0.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)OC(C)C,[706]
0,0.0,0,0.0,0.0,1.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,CCCCCCCC(O)=NC(CN1CCCC1)C(O)c1ccc2c(c1)OCCO2,[1086]
1,1.0,0,0.0,1.0,1.0,1.0,0,0,1,0.0,1.0,1.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,CCCCCCCCCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4C3CCC12C,[867]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,[596]
