logS,standardised_smiles,Identifier
-3.795,CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC,[3221]
-3.386,CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,[3023]
-3.159,CCCOc1ccc([N+](=O)[O-])cc1N,[2531]
-4.125,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,[3207]
-2.509,CCCSP(=O)(OCC)SCCC,[3039]
-2.15,CCCc1cc(O)nc(S)n1,[1050]
1.346,CCN,[1522]
0.713,CCN(C)CC,[2667]
0.532,CCN(C)N=O,[3033]
-0.595,CCN(CC)C(=O)CC(C)C,[2482]
-2.071,CCN(CC)C(=O)COC(=O)c1ccccc1,[3267]
-3.964,CCN(CC)C(=O)SCc1ccc(Cl)cc1,[3129]
0.7490000000000001,CCN(CC)C(=O)c1cccnc1,[1419]
,CCN(CC)CC,"[70, 2178]"
,CCN(CC)CC(O)=Nc1c(C)cccc1C,"[300, 2278]"
,CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC,"[556, 2386]"
,CCN(CC)CCOC(=O)c1ccc(N)cc1,"[225, 1422]"
0.016,CCN(CC)N=O,[1363]
-4.133,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,[3132]
-6.292999999999999,CCN(CCO)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,[2942]
,CCN(N=O)C(=N)O,"[953, 2758]"
-2.237,CCN=C(O)COC(=O)c1ccccc1,[3266]
-1.457,CCN=C(O)CSP(=S)(OC)OC,[2140]
-2.858,CCN=C(O)Nc1ncc([N+](=O)[O-])s1,[2284]
-2.937,CCN=c1nc(Cl)[nH]c(=NCC(=O)OCC)[nH]1,[3010]
-4.402,CCN=c1nc(Cl)nc(NC(C)(C)C)[nH]1,[3003]
-2.575,CCN=c1nc(OC)[nH]c(=NC(C)CC)[nH]1,[3124]
-3.708,CCN=c1nc(SC)[nH]c(=NC(C)C(C)C)[nH]1,[3104]
1.136,CCNCC,[2050]
-4.263,CCOC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(Cl)c(Cl)c1,[3099]
-6.093999999999999,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,[3292]
-5.569,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,[3272]
-4.512,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,[2454]
-3.205,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,[2927]
,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,"[1160, 2521]"
,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,"[322, 1391]"
-5.693,CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,[3206]
-0.753,CCOC(=O)CC#N,[1921]
-0.073,CCOC(=O)CC(C)=O,[2298]
-1.652,CCOC(=O)CC(C)C,[2002]
-0.603,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,[1592]
,CCOC(=O)CCC(=O)OCC,"[165, 2205]"
-1.33,CCOC(=O)CCCC(=O)OCC,[2765]
-1.68,CCOC(=O)CCCCC(=O)OCC,[2289]
-2.013,CCOC(=O)CCCCCC(=O)OCC,[2873]
-2.53,CCOC(=O)CCCCCCC(=O)OCC,[2874]
-3.51,CCOC(=O)CCCCCCCCC(=O)OCC,[2063]
-3.4730000000000003,CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,[3196]
-2.562,CCOC(=O)CN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,[3277]
-0.7979999999999999,CCOC(=O)OCC,[1923]
,CCOC(C)C,"[929, 2695]"
0.826,CCOC(O)=NC,[1916]
-0.768,CCOC(O)=NCC(C)C,[2498]
-0.6409999999999999,CCOC1CC1,[2998]
1.045,CCOCCO,[2075]
-2.699,CCOCCOC(=O)C=Cc1ccc(OC)cc1,[1904]
0.272,CCOCCOC(C)=O,[2088]
0.872,CCOCCOCCO,[2109]
0.79,CCOCCOCCOCC,[2117]
-0.173,CCOCOCC,[2410]
-4.74,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,[3298]
-2.965,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,[3100]
-3.462,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,[2416]
-2.059,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,[2368]
-0.624,CCOP(=O)(OCC)SCC(O)=NC(C)(C)C#N,[2966]
-2.111,CCOP(=O)(OCC)SCCSCC,[2241]
-1.5119999999999998,CCOP(=O)(OCC)SCS(=O)CC,[2926]
-1.993,CCOP(=O)(OCC)SCn1nnc2ccccc2c1=O,[3203]
-5.774,CCOP(=O)(Oc1ccc(Cl)cc1Cl)Oc1ccc(Cl)cc1Cl,[3170]
-3.3310000000000004,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,[3078]
-4.159,CCOP(=S)(CC)Sc1ccccc1,[2789]
-4.814,CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],[3169]
-3.634,CCOP(=S)(OCC)OCCSCC,[2357]
-4.924,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,[3109]
-5.952000000000001,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,[2985]
-2.638,CCOP(=S)(OCC)Oc1ccc(S(C)(=O)=O)cc1,[3055]
,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,"[1249, 1378]"
-4.132,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,[3043]
-2.338,CCOP(=S)(OCC)Oc1cnccn1,[2354]
-4.102,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,[3114]
-2.057,CCOP(=S)(OCC)SCC(O)=NC(C)C,[2898]
-2.54,CCOP(=S)(OCC)SCCS(=O)(=O)CC,[2918]
-1.861,CCOP(=S)(OCC)SCCS(=O)CC,[2919]
-2.895,CCOP(=S)(OCC)SCS(=O)(=O)C(C)(C)C,[3249]
-2.442,CCOP(=S)(OCC)SCS(=O)C(C)(C)C,[3032]
-4.517,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,[2932]
-5.704,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,[3037]
-5.017,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,[2883]
-1.3430000000000002,CCOS(=O)(=O)OCC,[1463]
0.402,CCOS(C)(=O)=O,[1448]
-6.558,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],[3215]
,CCOc1ccc(C(=O)OCCN(CC)CC)cc1,"[486, 1759]"
-2.427,CCOc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,[2797]
-1.927,CCS(=O)(=O)C(C)(C)S(=O)(=O)CC,[2132]
,CCS(=O)(=O)CC,"[56, 2628]"
-1.945,CCS(=O)(=O)c1nnc(N(C)C(O)=NC)s1,[3134]
-2.307,CCS(=O)CSP(=S)(OC(C)C)OC(C)C,[2999]
-2.286,CCSC(=O)N1CCCCCC1,[2892]
-4.203,CCSc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,[2975]
-1.475,CCc1ccc(O)cc1,[2200]
,CCc1ccc2cc3ccccc3cc2c1,"[842, 3226]"
-3.748,CCc1cccc(CC)c1,[2297]
,CCc1cccc(CC)c1N,"[412, 2570]"
-1.591,CCc1ccccc1N=C(C)O,[3147]
,CCc1ccccc1O,"[217, 1709]"
0.5379999999999999,CCc1cccnc1,[2492]
,CCc1cccs1,"[461, 2777]"
0.8270000000000001,CCc1ccncc1,[2491]
-0.06,CCc1nc(O)[nH]c1O,[63]
,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,"[337, 1757]"
-0.977,CCl,[1510]
-6.69,CCn1c(O)c(C#N)c(C)c(N=Nc2ccc(Cl)cc2[N+](=O)[O-])c1=O,[3282]
-3.37,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,[589]
-2.98,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,[1121]
-0.176,CF,[2621]
1.541,CN,[1512]
,CN(C)C,"[888, 1546]"
-1.372,CN(C)C(=O)COC(=O)c1ccccc1,[3304]
-2.88,CN(C)C1C(=O)C(C(=N)O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,[510]
-3.14,CN(C)C1C(=O)C(C(=N)O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,[549]
-3.12,CN(C)C1C(=O)C(C(=N)O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,[543]
-2.52,CN(C)C1C(=O)C(C(=N)O)C(=O)C2(O)C(O)c3c(c(O)c4c(Cl)ccc(O)c4c3O)CC12,[447]
-1.42,CN(C)C1C(=O)C(C(O)=NCN2CCCC2)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,[988]
1.136,CN(C)C=O,[1483]
,CN(C)CCC=C1c2ccccc2CCc2ccccc21,"[1222, 1328]"
,CN(C)CCC=C1c2ccccc2COc2ccccc21,"[596, 2834]"
,CN(C)CCCN1c2ccccc2CCc2ccccc21,"[688, 1329]"
-5.3,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,[791]
,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,"[769, 1330]"
,CN(C)CCCN1c2ccccc2Sc2ccccc21,"[1213, 1411]"
-2.64,CN(C)CCN(Cc1ccccc1)c1ccccn1,[473]
-2.64,CN(C)CCN(Cc1cccs1)c1ccccn1,[474]
-1.3730000000000002,CN(C)CCc1ccc(O)cc1,[2495]
1.221,CN(C)N,[1387]
,CN(C)N=C(O)CCC(=O)O,"[77, 2828]"
1.13,CN(C)N=O,[1453]
0.747,CN(C)P(=O)(N(C)C)N(C)C,[2741]
-2.009,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,[2523]
-3.398,CN(C)c1ccc(C(=O)O)cc1,[2676]
-5.9910000000000005,CN(C)c1ccc(N=Nc2ccccc2)cc1,[1430]
-1.5219999999999998,CN(Cc1ccccc1)N=O,[2787]
,CN(N=O)C(=N)O,"[150, 2742]"
-2.039,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,[1635]
,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,"[491, 1371]"
,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,"[103, 1337]"
-0.02,CN1C2CCC1C(C(=O)O)C(O)C2,[61]
,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,"[327, 367, 1340]"
-1.44,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,[1673]
-3.28,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,[1144]
-2.9730000000000003,CN1CCC23c4c5ccc(OCc6ccccc6)c4OC2C(O)C=CC3C1C5,[3057]
-4.74,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,[753]
1.0,CN1CCCC1=O,"[883, 2776]"
,CN1CCCC1c1cccnc1,"[889, 1360]"
,CN1CCCCC1,"[47, 2702]"
-2.426,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,[1642]
,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"[1226, 2146]"
,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"[717, 1409]"
1.0,CN1CCOCC1,"[16, 2025]"
-2.13,CN1CSC(=S)N(C)C1,[370]
,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,"[1188, 3050]"
1.136,CN=C(C)O,[1618]
,CN=C(NC#N)NCCSCc1[nH]cnc1C,"[980, 3223]"
-1.7180000000000002,CN=C(O)COC(=O)c1ccccc1,[3302]
-0.962,CN=C(O)CSP(=S)(OC)OC,[1438]
-3.574,CN=C(O)N(C)c1nc2ccccc2s1,[3086]
-1.997,CN=C(O)N(C)c1nnc(C(C)(C)C)s1,[3156]
-2.0580000000000003,CN=C(O)N(C)c1nnc(C(F)(F)F)s1,[3120]
-0.447,CN=C(O)ON=C(C)SC,[3077]
-2.08,CN=C(O)ON=C1C(Cl)C2CC(C#N)C1C2,[1045]
-1.347,CN=C(O)ON=CC(C)(C)S(C)(=O)=O,[2831]
-1.499,CN=C(O)ON=CC(C)(C)SC,[2141]
-3.347,CN=C(O)Oc1cc(C)c(N(C)C)c(C)c1,[2370]
-4.353,CN=C(O)Oc1cc(C)c(SC)c(C)c1,[2871]
-3.357,CN=C(O)Oc1cc(C)cc(C(C)C)c1,[2929]
-2.139,CN=C(O)Oc1ccc(C)c(C)c1,[2911]
-3.973,CN=C(O)Oc1ccc(SC)c(C)c1,[2961]
,CN=C(O)Oc1cccc(C)c1,"[308, 2811]"
-3.747,CN=C(O)Oc1cccc2c1OC(C)(C)O2,[3102]
-2.301,CN=C(O)Oc1ccccc1OC(CCl)OC,[3224]
-2.48,CN=C(O)n1cc(F)c(O)nc1=O,[3250]
-0.983,CN=C=S,[2541]
-2.5660000000000003,CN=c1nc(SC)[nH]c(=NC(C)C)[nH]1,[2800]
1.558,CNC,[2231]
,CNC(=N)O,"[878, 2631]"
,CNC(C)C(O)c1ccccc1,"[96, 2360]"
0.527,CNCC(=O)O,[1978]
0.7090000000000001,CNCC(O)C(O)C(O)C(O)CO,[3009]
,CNCCCN1c2ccccc2CCc2ccccc21,"[629, 1327]"
-3.164,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,[2363]
,CNc1ccccc1C(=O)O,"[1117, 2162]"
0.884,COC,[2128]
,COC(=N)O,"[17, 2633]"
-3.944,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,[3283]
-3.982,COC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,[3233]
-3.117,COC(=O)C(C)N(C(=O)c1ccco1)c1c(C)cccc1C,[3253]
-3.834,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,[3222]
,COC(=O)C(Cl)Cc1ccc(Cl)cc1,"[644, 3060]"
-4.18,COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,[687]
-1.2,COC(=O)C1=C(C(=O)OC)C2CCC1C2,[197]
,COC(=O)C1=CCCN(C)C1,"[21, 1458]"
,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,"[1057, 1326]"
-0.256,COC(=O)C=CC(=O)OC,[2686]
0.634,COC(=O)CC(C)=O,[1917]
-5.822,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,[2851]
,COC(=O)c1cc(Cl)cc(N)c1Cl,"[570, 3020]"
-5.934,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],[3214]
,COC(=O)c1ccc(N)cc1,"[260, 2675]"
,COC(=O)c1ccc(OC)cc1,"[430, 2187]"
-3.534,COC(=O)c1ccccc1CS(=O)(=O)NC(O)=Nc1nc(OC)cc(OC)n1,[3295]
,COC(=O)c1ccccc1O,"[409, 2157]"
-1.604,COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,[3287]
-3.084,COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(C)cc(C)n1,[3286]
,COC(C)C,"[906, 2632]"
,COC(O)=NS(=O)(=O)c1ccc(N)cc1,"[1011, 2955]"
-3.834,COC(O)=Nc1nc2ccccc2[nH]1,[3034]
0.299,COC1OC(CO)C(O)C(O)C1O,[1803]
-0.9,COCC(C)C,[2693]
0.176,COCC(C)OC(C)=O,[2003]
-2.086,COCCN(C(=O)CCl)c1c(C)cccc1C,[3218]
1.119,COCCO,[2048]
1.045,COCCOC,[2073]
0.872,COCCOCCOC,[2111]
,COCCOc1c(OC)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,"[1047, 3238]"
-1.155,COCc1ccc([N+](=O)[O-])o1,[2587]
-2.895,CON(C)C(=O)Nc1ccc(Br)cc1,[2947]
0.5529999999999999,COP(=O)(OC)OC,[2455]
0.625,COP(=O)(OC)OC(C)=CC(=O)N(C)C,[2292]
-2.497,COP(=O)(OC)OC(C)=CC(=O)OC(C)c1ccccc1,[3026]
-2.001,COP(=O)(OC)OC1=C(Cl)C2C=CCC12,[3110]
-1.344,COP(=O)(OC)OC=C(Cl)Cl,[1452]
-2.121,COP(=O)(Oc1ccccc1)Oc1ccccc1,[2138]
-4.798,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,[2362]
-5.877000000000001,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,[3251]
-3.723,COP(=S)(OC)Oc1ccc(C#N)cc1,[2931]
-3.872,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,[2440]
,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,"[1166, 2355]"
,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,"[1237, 2997]"
-3.429,COP(=S)(OC)SCCSC(C)C,[3172]
-4.114,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,[2755]
-5.294,COP(=S)(OC)SCSc1ccc(Cl)cc1,[2792]
-4.181,COP(=S)(OC)SCn1nnc2ccccc2c1=O,[1667]
-7.138,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,[3095]
0.906,COP(C)(=O)OC,[2757]
0.85,COP(N)(=O)SC,[3029]
-3.571,COP1(=S)OCc2ccccc2O1,[2971]
-0.654,COS(=O)(=O)OC,[1590]
-4.325,COc1c(Cl)cc(Cl)cc1Cl,[1677]
,COc1c(Cl)ccc(Cl)c1C(=O)O,"[285, 2859]"
-4.398,COc1c(O)cc(Cl)c(Cl)c1Cl,[3252]
-3.085,COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],[2645]
-3.81,COc1c2c(cc3oc(=O)ccc13)OC(C)(C)C=C2,[1656]
-3.61,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,[2163]
,COc1cc(C(=O)O)ccc1O,"[1040, 2177]"
-4.503,COc1cc(C2c3cc4c(c(O)c3CC3COC(=O)C32)OCO4)cc(OC)c1OC,[2464]
-3.617,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,[2419]
-1.141,COc1cc(C=O)ccc1O,[2176]
,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,"[506, 2756]"
-2.53,COc1cc(Cl)c(Cl)cc1O,[449]
-4.413,COc1cc(Cl)c(OC)cc1Cl,[2935]
-5.746,COc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O,[2941]
,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,"[453, 2970]"
,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,"[520, 2188]"
-0.091,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,[2974]
-2.93,COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,[518]
-6.02,COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],[3145]
,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,"[363, 2385]"
-2.535,COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,[2254]
-2.458,COc1ccc(C(=O)O)cc1,[1860]
-5.08,COc1ccc(C(=O)c2cccc(C)c2)cc1C,[3208]
-4.473,COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1,[3320]
-2.398,COc1ccc(C=CC(=O)O)cc1,[2770]
-1.92,COc1ccc(C=O)c(C(=O)O)c1OC,[330]
,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,"[269, 3103]"
-5.09,COc1ccc(Cl)cc1C(O)=NCCc1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1,[775]
-1.3,COc1ccc(N=C(C)O)cc1,[211]
-1.592,COc1ccc(NC(=N)O)cc1,[2824]
,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,"[575, 1631]"
-2.839,COc1ccc(O)c([N+](=O)[O-])c1,[2825]
-0.492,COc1ccc(O)cc1,[2324]
-3.107,COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],[2155]
,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,"[694, 1443]"
-5.54,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)C=Cc1ccccc1,[807]
-4.62,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,[739]
-1.87,COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,[318]
,COc1ccc2c(c1OC)C(=O)OC2,"[323, 2560]"
,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,"[551, 2247]"
-4.11,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,[1201]
,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,"[244, 1575]"
,COc1ccc2cc(C(C)C(=O)O)ccc2c1,"[681, 3098]"
-0.952,COc1cccc(OC)c1O,[1721]
-2.486,COc1cccc([N+](=O)[O-])c1,[2536]
-1.483,COc1ccccc1C(=O)O,[2571]
-0.598,COc1ccccc1OCC(O)CO,[1743]
-1.784,COc1ccn(C)c(=O)c1C#N,[2467]
,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,"[457, 2739]"
0.528,COc1coc(CSP(=O)(OC)OC)cc1=O,[2937]
-3.209,COc1nn(CSP(=S)(OC)OC)c(=O)s1,[2790]
-0.495,CS,[1514]
-0.515,CS(=O)(=O)F,[2545]
1.107,CS(C)=O,[1479]
-4.269,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,[3255]
,CSCCC(N)C(=O)O,"[94, 1456]"
-2.64,CSCOC(=O)c1ccccc1OC(C)=O,[3290]
-1.55,CSc1cnc2cncnc2n1,[251]
-3.161,CSc1nc2ccccc2s1,[2659]
-1.76,CSc1ncc2nccnc2n1,[298]
-2.36,CSc1ncnc2nccnc12,[418]
0.799,C[N+](C)(C)CCCl,[2799]
-2.91,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,[513]
-2.352,Cc1c(C(=N)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],[2314]
-7.343,Cc1c2ccccc2cc2c1ccc1ccccc12,[2924]
,Cc1cc(=N)[nH]c(C)n1,"[973, 2408]"
-1.2,Cc1cc(=O)c2ccccc2[nH]1,[967]
-2.357,Cc1cc(C)c(C(=O)O)c(C)c1,[2423]
-1.955,Cc1cc(C)c(N)cc1C,[2276]
,Cc1cc(C)c2ccccc2n1,"[1027, 2817]"
-0.539,Cc1cc(C)nc(C)c1,[2008]
,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,"[1059, 1399]"
-1.5519999999999998,Cc1cc(Cl)ccc1O,[2826]
,Cc1cc(Cl)ccc1OC(C)C(=O)O,"[454, 1748]"
,Cc1cc(Cl)ccc1OCC(=O)O,"[392, 1764]"
-3.678,Cc1cc(Cl)ccc1OCCCC(=O)O,[1766]
-1.261,Cc1cc(N(C)C)nc(Cl)n1,[2488]
-6.57,Cc1cc(N(CCO)CCO)ccc1N=Nc1ccc([N+](=O)[O-])cc1Cl,[2969]
,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,"[394, 2460]"
,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,"[466, 2752]"
-2.98,Cc1cc(O)c(Cl)c(C)c1Cl,[2265]
-4.39,Cc1cc(O)c([N+](=O)[O-])cc1Cl,[3019]
,Cc1cc(O)cc(C)c1Cl,"[497, 1688]"
-1.57,Cc1cc(O)ccc1Cl,[257]
-6.7,Cc1cc(O)ccc1OP(=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,[1267]
-2.11,Cc1cc(O)ccc1[N+](=O)[O-],[2925]
-1.26,Cc1cc(O)nc(O)n1,[972]
,Cc1cc(O)no1,"[64, 3028]"
,Cc1ccc(C(=O)O)cc1,"[1094, 1853]"
-3.0660000000000003,Cc1ccc(C(=O)O)cc1C,[2674]
-3.2880000000000003,Cc1ccc(C(C)C)c(O)c1C(=O)O,[2522]
,Cc1ccc(C)c(O)c1,"[247, 1786]"
-1.936,Cc1ccc(C)c(O)c1C,[2910]
,Cc1ccc(C)c2c(C)cccc12,"[763, 2885]"
,Cc1ccc(C)nc1,"[37, 2599]"
-1.724,Cc1ccc(C=O)cc1,[1911]
,Cc1ccc(CO)cc1,"[196, 2590]"
-3.792,Cc1ccc(Cl)c(Cl)c1,[1784]
-2.318,Cc1ccc(N(C)C)cc1,[1855]
-0.91,Cc1ccc(N(CCO)CCO)cc1,[2950]
-2.384,Cc1ccc(O)c([N+](=O)[O-])c1,[2156]
-0.293,Cc1ccc(O)o1,[2603]
,Cc1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1,"[692, 2740]"
,Cc1ccc(S(=O)(=O)NC(O)=NN2CCCCCC2)cc1,"[634, 2812]"
-3.26,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,[2650]
-5.001,Cc1ccc2cc(C)c(C)cc2c1,[2769]
,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,"[864, 1375]"
-6.816,Cc1ccc2cc3c(ccc4ccccc43)cc2c1,[2907]
-3.68,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,[1167]
,Cc1cccc(Br)c1,"[612, 2604]"
,Cc1cccc(C(=O)O)c1,"[371, 1832]"
-4.213,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,[3274]
-1.55,Cc1cccc(C)c1N=C(O)C1CCCCN1C,[250]
-2.407,Cc1cccc(N=C(O)c2ccccc2C(=O)O)c1,[1664]
-3.78,Cc1cccc(Nc2ccccc2C(=O)O)c1C,[1175]
,Cc1cccc(O)c1C,"[231, 2470]"
-1.641,Cc1cccc(O)c1[N+](=O)[O-],[2986]
-4.6610000000000005,Cc1cccc(Oc2ccc([N+](=O)[O-])cc2)c1,[2899]
-4.85,Cc1cccc(Oc2cccc(C)c2)c1,[757]
-1.341,Cc1cccc(S(N)(=O)=O)c1,[2855]
-6.644,Cc1cccc2ccc3cc4ccccc4cc3c12,[2920]
,Cc1ccccc1C(=O)O,"[354, 2151]"
-3.639,Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2,[3297]
-1.189,Cc1ccccc1OCC(O)CO,[1423]
-1.969,Cc1ccccc1Oc1cccnn1,[3061]
,Cc1ccccc1S(N)(=O)=O,"[347, 1693]"
1.031,Cc1ccccn1,[2027]
1.031,Cc1cccnc1,[2023]
-1.4369999999999998,Cc1ccco1,[2484]
-2.85,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,[505]
-3.97,Cc1ccnc2c1ccc1c(C)ccnc12,[660]
1.031,Cc1ccncc1,[2016]
,Cc1ccsc1,"[1074, 2668]"
,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,"[1112, 2635]"
-2.45,Cc1cnc(S)nc1O,[440]
-5.195,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,[2833]
1.026,Cc1cnccn1,[2029]
-2.129,Cc1csc(NS(=O)(=O)c2ccc(N)cc2)n1,[2459]
